country,scope_label,kind,item_it,month,state
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mandarini,marzo,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mandarini,aprile,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mandarini,maggio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mandarini,giugno,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mandarini,luglio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mandarini,agosto,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mandarini,settembre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mandarini,ottobre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mandarini,novembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mandarini,dicembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,melanzane,gennaio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,melanzane,febbraio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,melanzane,marzo,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,melanzane,aprile,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,melanzane,maggio,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,melanzane,giugno,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,melanzane,luglio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,melanzane,agosto,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,melanzane,settembre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,melanzane,ottobre,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,melanzane,novembre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",verdura,melanzane,dicembre,not_listed
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mele,gennaio,listed_in_season
Italy,"Italy national indicative consumer calendar (MIPAAF-origin; as published by AULSS 9 Scaligera SIAN, Veneto) - not regional",frutta,mele,febbraio,listed_in_season
